date,vendor,amount,category,hide,notes
1.7.2022,Tier,"2,10€",Electric scooters,,
1.7.2022,KSupermarket,"10,68€",Groceries,,
1.7.2022,KSupermarket,"6,75€",Groceries,,
1.7.2022,Verkkokauppa.com,"119,90€",Electronics,,
4.7.2022,Patreon,"22,32€",Subscriptions,,
4.7.2022,Joescooter,"5,00€",Electric scooters,,
4.7.2022,KMarket,"4,62€",Groceries,,
4.7.2022,All Things Live,"1,00€",Going out,,
4.7.2022,All Things Live,"12,00€",Going out,,
4.7.2022,All Things Live,"10,00€",Going out,,
4.7.2022,KMarket,"1,64€",Groceries,,
4.7.2022,KMarket,"5,58€",Groceries,,
4.7.2022,All Things Live,"12,00€",Going out,,
4.7.2022,Tier,"1,88€",Electric scooters,,
4.7.2022,Bird,"3,80€",Electric scooters,,
4.7.2022,Bird,"1,95€",Electric scooters,,
4.7.2022,All Things Live,"5,00€",Going out,,
4.7.2022,All Things Live,"12,00€",Going out,,
5.7.2022,Tier,"4,52€",Electric scooters,,
5.7.2022,Burger King,"16,90€",Going out,,
5.7.2022,KSupermarket,"8,56€",Groceries,,
5.7.2022,HSL,"2,80€",Public transportation,,
5.7.2022,HSL,"2,80€",Public transportation,,
6.7.2022,Lothian,"5,37€",Public transportation,,
6.7.2022,HMV,"107,70€",Vinyl,,
6.7.2022,Museum of Edinburgh,"13,29€",Groceries,,
6.7.2022,Museum of Edinburgh,"3,64€",Groceries,,
6.7.2022,Museum of Edinburgh,"5,90€",Groceries,,
6.7.2022,Sainsburys,"5,67€",Groceries,,
6.7.2022,Sainsburys,"3,64€",Groceries,,
6.7.2022,Miller & Carter,"71,74€",Going out,,
6.7.2022,Castle & Crown,"4,76€",Shopping,,
7.7.2022,Starbucks,"4,86€",Going out,,
7.7.2022,Next,"40,92€",Clothing,,
7.7.2022,Tartan House of Sco,"17,10€",Shopping,,
7.7.2022,Sainsburys,"3,24€",Groceries,,
7.7.2022,Coscutter,"6,90€",Groceries,,
8.7.2022,GaoTheArsonist,"36,59€",Clothing,,
8.7.2022,Hollister,"52,31€",Clothing,,
8.7.2022,Primark,"19,79€",Clothing,,
8.7.2022,Stagecoach,"1,94€",Public transportation,,
8.7.2022,Stagecoach,"1,94€",Public transportation,,
8.7.2022,Bread Meets Bread,"54,05€",Going out,,
8.7.2022,Coscutter,"1,80€",Groceries,,
8.7.2022,Coscutter,"2,39€",Groceries,,
9.7.2022,Mohammed Hussein Alkhafaji,"1 450,00 €",Electronics,,
11.7.2022,Subway,"7,88€",Going out,,
11.7.2022,Costa,"11,95€",Groceries,,
11.7.2022,Lothian,"5,46€",Public transportation,,
11.7.2022,Bird,"1,95€",Electric scooters,,
11.7.2022,HSL,"4,10€",Public transportation,,
11.7.2022,HSL,"2,80€",Public transportation,,
11.7.2022,HSL,"4,10€",Public transportation,,
11.7.2022,HSL,"4,10€",Public transportation,,
11.7.2022,HSL,"4,10€",Public transportation,,
11.7.2022,HSL,"4,10€",Public transportation,,
11.7.2022,HSL,"4,10€",Public transportation,,
11.7.2022,HSL,"2,80€",Public transportation,,
11.7.2022,Calvin Klein,"25,90€",Clothing,,
11.7.2022,Isabel de Silva,"80,00€",Other,,
11.7.2022,Ikea,"91,34€",Furniture,,
11.7.2022,Ikea,"28,00€",Furniture,,
11.7.2022,Dustin Home,"46,29€",Electronics,,
12.7.2022,KSupermarket,"2,00€",Gambling,,
14.7.2022,Gigantti,"399,00€",Electronics,,
15.7.2022,OSUUSPANKKI,"4,50€",Subscriptions,,
15.7.2022,Amazon,"47,93€",Electronics,,
18.7.2022,Makerfire,"29,68€",Electronics,,
18.7.2022,Steam,"3,74€",Games,,
18.7.2022,KSupermarket,"18,61€",Groceries,,
18.7.2022,Tekant,"67,79€",Vehicle maintenence,,
19.7.2022,Kellyhouse,"12,40€",Other,,
19.7.2022,Niko Kaarlela,"166,67€",Furniture,,
20.7.2022,Linnea Melch,"$12,34",Other,,
20.7.2022,Clas Ohlson,"$10,79",Furniture,,
19.7.2022,Amazon,"$36,89",Shopping,,Ron weasly + earbud tips
25.7.2022,Motonet,"$28,70",Shopping,,
26.7.2022,Kanavan Kevari,"$10,00",Gas,,
27.7.2022,Fennia,"$111,33",Insurance,,
28.7.2022,K-Citymarket Turtola,"$133,82",Groceries,,
29.7.2022,Isabel de Silva,"$60,00",Other,,
29.7.2022,Verkkokauppa.com,"$379,70",Electronics,,
1.8.2022,Paytrail,"$35,35",Other,,Need to figure out
1.8.2022,Ikea,"$0,79",Groceries,,
1.8.2022,K-Citymarket Pirkkala,"$28,43",Groceries,,
1.8.2022,Kanavan Kevari,"$10,00",Gas,,
1.8.2022,Rent,"$184,20",Rent,,
2.8.2022,Tier,"$5,84",Electric scooters,,
2.8.2022,Patreon,"$22,32",Subscriptions,,
2.8.2022,Apteekki,"$5,76",Groceries,,
2.8.2022,Vr,"$17,00",Public transportation,,
2.8.2022,R-Kioski,"$6,00",Going out,,
3.8.2022,Kreate stock,"$295,40",Investements,,
3.8.2022,Opiskelijakortin tilaus,"$10,00",Other,,
3.8.2022,Isabel de Silva,"$124,53",Debt,,
3.8.2022,Pupukahvila,"$13,40",Going out,,
3.8.2022,Verohallinta,"$296,82",Debt,,
3.8.2022,K-Supermarket Nekala,"$12,91",Groceries,,
4.8.2022,Prisma Pirkkala,"$34,53",Groceries,,
4.8.2022,K-Citymarket Pirkkala,"$20,13",Groceries,,
4.8.2022,Motonet,"$31,95",Cleaning supplies,,
4.8.2022,Motonet,"$0,38",Utilities,,
5.8.2022,Kreate stock,"$92,42",Investements,,
5.8.2022,Vr,"$27,20",Public transportation,,
5.8.2022,K-Citymarket Pirkkala,"$20,13",Groceries,,
5.8.2022,Prisma Pirkkala,"$34,53",Groceries,,
5.8.2022,Kotipizza,"$17,90",Going out,,
5.8.2022,Muovi ja Lelu,"$27,55",Furniture,,
5.8.2022,Sokos,"$57,50",Shopping,,Hajuvesi
7.8.2022,Isabel de Silva,"$299,00",Other,,
7.8.2022,K-Citymarket Turtola,"$33,95",Groceries,,
7.8.2022,Gigantti,"$9,95",Furniture,,
7.8.2022,Puuilo,"$5,98",Utilities,,
8.8.2022,Caverion stock,"$300,00",Investements,,
10.8.2022,Verkkokauppa.com,"$50,00",Furniture,,
10.8.2022,DNA,"$84,00",Furniture,,Modeemi
10.8.2022,F-Musiikki,"$11,90",Electronics,,
10.8.2022,Biltema,"$3,90",Furniture,,
11.8.2022,K-Supermarket Nekala,"$3,15",Groceries,,
12.8.2022,Steakhouse Skyline,"$4,90",Going out,,
12.8.2022,Dekolust,"$8,01",Furniture,,
12.8.2022,Takeaway Tea,"$8,37",Going out,,
12.8.2022,Lautapelit,"$26,90",Shopping,,
12.8.2022,Steakhouse Skyline,"$36,20",Going out,,
12.8.2022,Superdry,"$45,00",Clothing,,
12.8.2022,Dressman,"$60,00",Clothing,,
13.8.2022,Kuntonyrkkeily,"$165,00",Gym memberships,,
13.8.2022,Pupukahvila,"$7,00",Going out,,
15.8.2022,Sportuni,"$84,00",Gym memberships,,
15.8.2022,Nysse,"$4,00",Public transportation,,
15.8.2022,Nella,"$5,00",Public transportation,,
16.8.2022,Tier,"$3,20",Electric scooters,,
16.8.2022,Brothers parturi,"$37,00",Utilities,,
16.8.2022,Nysse,"$4,00",Public transportation,,
16.8.2022,Verkkokauppa.com,"$72,95",Electronics,,
17.8.2022,K-Supermarket Nekala,"$2,99",Groceries,,
17.8.2022,Kouluruoka,"$2,70",School food,,
18.8.2022,Tier,"$2,10",Electric scooters,,
18.8.2022,XXL,"$10,00",Utilities,,
18.8.2022,Prisma Koivistonkylä,"$12,77",Electronics,,
18.8.2022,Prisma Kaleva,"$2,95",Groceries,,
22.8.2022,Kouluruoka,"$2,70",School food,,
22.8.2022,K-Supermarket Nekala,"$19,06",Groceries,,
22.8.2022,Prisma Koivistonkylä,"$12,95",Electronics,,
22.8.2022,PiHut,"$33,00",Electronics,,
22.8.2022,Isabel de Silva,"$172,00",Furniture,,
23.8.2022,Kivenheitto,"$9,00",Going out,,
24.8.2022,Hesburger,"$10,40",Going out,,
24.8.2022,Kouluruoka,"$2,90",School food,,
24.8.2022,S-Market Pendolino,"$10,74",Going out,,
24.8.2022,Luuppi,"$37,00",Utilities,,
24.8.2022,Posti,"$8,30",Utilities,,
25.8.2022,K-Market Tullintori,"$3,24",Going out,,
25.8.2022,Kouluruoka,"$2,70",School food,,
25.8.2022,Kouluruoka,"$3,30",School food,,
25.8.2022,Nysse,"$2,00",Public transportation,,
26.8.2022,K-Market Satakunta,"$9,30",Going out,,
26.8.2022,Nella,"$10,00",Public transportation,,
26.8.2022,Poro,"$5,00",Going out,,
26.8.2022,Haalarimerkit,"$5,00",Other,,
26.8.2022,Sokos Herkku,"$2,52",Going out,,
25.8.2022,Poro,"$4,00",Going out,,
26.8.2022,Prisma Kaleva,"$6,17",Groceries,,
27.8.2022,K-Supermarket Nekala,"$31,67",Groceries,,
27.8.2022,Prisma Kaleva,"$2,87",Other,,
28.8.2022,Siipiweikot,"$31,15",Going out,,
28.8.2022,Vapriikki,"$14,00",Going out,,
28.8.2022,K-Market Satakunta,"$4,70",Groceries,,
30.8.2022,K-Market Vellamonka,"$1,50",Going out,,
30.8.2022,Nella,"$20,00",Public transportation,,
31.8.2022,Siipiweikot,"$14,10",Going out,,
31.8.2022,K-Market Puuvillate,"$4,40",Going out,,
31.8.2022,Kouluruoka,"$2,70",School food,,
1.9.2022,Nysse,"$2,00",Public transportation,,
1.9.2022,Isabel de Silva,"$184,20",Rent,,
2.9.2022,Patreon,"$22,32",Subscriptions,,
2.9.2022,Ryde,"$1,69",Electric scooters,,
2.9.2022,K-Market Tullintori,"$3,26",Going out,,
2.9.2022,Kouluruoka,"$2,70",School food,,
2.9.2022,Old Mates,"$5,50",Going out,,
2.9.2022,Jerun Piilopaikka,"$5,85",Going out,,
2.9.2022,Jerun Piilopaikka,"$1,80",Going out,,
5.9.2022,Old Irish Pub,"$3,50",Going out,,
5.9.2022,Pyynikin Brewhouse,"$12,00",Going out,,
5.9.2022,Semafore,"$6,80",Going out,,
5.9.2022,Passion,"$4,80",Going out,,
5.9.2022,Ilona,"$10,00",Going out,,
5.9.2022,Ilona,"$4,60",Going out,,
5.9.2022,McDonald's,"$10,45",Going out,,
5.9.2022,Kasperi Pohtinen,"$4,00",Going out,,
5.9.2022,Ilona narikka,"$3,50",Going out,,
5.9.2022,K-Citymarket Pirkkala,"$11,15",Going out,,
5.9.2022,K-Citymarket Pirkkala,"$7,94",Groceries,,
5.9.2022,Burger King,"$7,65",Going out,,
5.9.2022,Isabel de Silva,"$12,64",Furniture,,
6.9.2022,Tier,"$4,08",Electric scooters,,
6.9.2022,EU-Indeksi,"$100,00",Investements,,
7.9.2022,Luuppi,"$4,10",Going out,,
8.9.2022,K-Supermarket Nekala,"$45,27",Groceries,,
8.9.2022,Kouluruoka,"$2,70",School food,,
8.9.2022,Kouluruoka,"$2,70",School food,,
8.9.2022,Isabel de Silva,"$14,40",Furniture,,
8.9.2022,Luuppi,"$10,00",Clothing,,
9.9.2022,K-Supermarket Häme,"$5,43",Going out,,
9.9.2022,Save File,"$11,00",Going out,,
10.9.2022,Odeka,"$210,40",Furniture,,
14.9.2022,Jysk Pirkkala,"$4,00",Furniture,,
14.9.2022,Ikea Tampere,"$89,97",Furniture,,
14.9.2022,Thomann,"$53,00",Electronics,,
14.9.2022,Kouluruoka,"$2,70",School food,,
14.9.2022,Friends & Brgrs,"$15,90",Going out,,
14.9.2022,Itsudemo,"$31,00",Going out,,
14.9.2022,K-Supermarket Nekala,"$13,84",Groceries,,
14.9.2022,Prisma Kaleva,"$2,00",Going out,,
14.9.2022,Prisma Kaleva,"$6,89",Going out,,
14.9.2022,Biltema,"$60,70",Furniture,,
14.9.2022,AkiLasi,"$185,00",Furniture,,
14.9.2022,Kouluruoka,"$2,70",School food,,
14.9.2022,Kouluruoka,"$2,70",School food,,
14.9.2022,Luuppi,"$8,00",Going out,,
15.9.2022,Kouluruoka,"$2,70",School food,,
16.9.2022,Paytrail,"$10,00",Other,,
16.9.2022,Luuppi,"$10,00",Going out,,
17.9.2022,Prisma Koivistonkylä,"$1,85",Groceries,,
17.9.2022,Kouluruoka,"$2,70",School food,,
17.9.2022,K-Citymarket Pirkkala,"$10,49",Going out,,
17.9.2022,Verkkokauppa.com,"$14,99",Electronics,,
17.9.2022,VR,"$15,70",Public transportation,,
17.9.2022,Pocketcasts,"$30,00",Subscriptions,,
17.9.2022,Prisma Kaleva,"$4,70",Going out,,
17.9.2022,Prisma Kaleva,"$2,25",Work,,
20.9.2022,Hesburger,"$7,90",Going out,,
21.9.2022,Kouluruoka,"$2,70",School food,,
21.9.2022,K-Citymarket Turtola,"$12,00",Groceries,,
21.9.2022,Kouluruoka,"$2,70",School food,,
22.9.2022,Kouluruoka,"$2,70",School food,,
22.9.2022,Kouluruoka,"$1,70",Going out,,
22.9.2022,Pyynikin Munkkikahvila,"$5,00",Going out,,
22.9.2022,Luuppi,"$1,60",Going out,,
23.9.2022,Tier,"$5,62",Electric scooters,,
23.9.2022,Tier,"$4,96",Electric scooters,,
23.9.2022,Poro,"$5,00",Going out,,
23.9.2022,Kolmiot,"$2,00",Clothing,,
26.9.2022,NSA,"$3,00",Going out,,
26.9.2022,Prisma Kaleva,"$1,15",Groceries,,
26.9.2022,Ikea Tampere,"$1,97",Going out,,
27.9.2022,Hämeenkadun approt,"$25,00",Going out,,
27.9.2022,Kouluruoka,"$2,70",School food,,
28.9.2022,K-Market Puuvillate,"$1,75",Groceries,,
28.9.2022,Haalarimerkit,"$0,50",Clothing,,
29.9.2022,Ricoh,"$3,00",Other,,
29.9.2022,Kouluruoka,"$2,80",School food,,
30.9.2022,Kouluruoka,"$2,70",School food,,
30.9.2022,Kouluruoka,"$2,70",School food,,
30.9.2022,Alko,"$20,17",Going out,,
29.9.2022,Old Irish Pub,"$3,50",Going out,,
29.9.2022,Nysse,"$2,00",Public transportation,,
30.9.2022,Lautapelit,"$63,90",Furniture,,
30.9.2022,K-Supermarket Ratina,"$41,00",Groceries,,
30.9.2022,Heidis,"$12,00",Going out,,
30.9.2022,McDonald's,"$10,65",Going out,,
30.9.2022,Heidis,"$10,00",Going out,,
30.9.2022,S-Market Pendolino,"$3,95",Groceries,,
30.9.2022,Nysse,"$2,00",Public transportation,,
30.9.2022,Tier,"$1,89",School food,,
1.10.2022,Patreon,"$16,74",Subscriptions,,
1.10.2022,Burger King,"$5,75",Going out,,
1.10.2022,K-Supermarket Hämeenkatu,"$4,78",Other,,
1.10.2022,Nysse,"$2,00",Public transportation,,
3.10.2022,Isabel de Silva,"$184,20",Rent,,
3.10.2022,Tier,"$1,89",Electric scooters,,
3.10.2022,K-Supermarket Ratina,"$41,00",Groceries,,
3.10.2022,McDonads,"$10,65",Going out,,
3.10.2022,S-Market Pendoliino,"$3,95",Going out,,
3.10.2022,Old Irish Pub,"$3,50",Going out,,
3.10.2022,Heidis,"$22,00",Going out,,
3.10.2022,Patreon,"$16,74",Subscriptions,,
3.10.2022,Nysse,"$2,00",Public transportation,,
3.10.2022,Lautapeli.fi,"$63,90",Furniture,,
3.10.2022,K-Supermarket Hämeenkatu,"$4,78",Going out,,
3.10.2022,Burger King,"$5,75",Going out,,
3.10.2022,Nysse,"$2,00",Public transportation,,
4.10.2022,Sami,"$11,00",Going out,,
5.10.2022,Isabel,"$40,00",Debt,,
5.10.2022,School food,"$3,90",School food,,
5.10.2022,Visma,"$12,00",Going out,,
6.10.2022,Tier,"$3,10",Electric scooters,,
7.10.2022,Power,"$69,00",Furniture,,
7.10.2022,Compass,"$3,20",School food,,
10.10.2022,Tier,"$1,12",Electric scooters,,
10.10.2022,Tier,"$3,99",Electric scooters,,
10.10.2022,K-market tullintori,"$10,98",Going out,,
10.10.2022,Sodexo,"$3,20",School food,,
10.10.2022,K-Citymarket Pirkkala,"$4,38",Other,,
10.10.2022,Subway,"$10,90",Going out,,
10.10.2022,Canadem,"$11,00",Other,,
10.10.2022,Tier,"$4,99",Electric scooters,,
10.10.2022,Paytrail Jyväskylä,"$10,00",Other,,
11.10.2022,School,"$3,20",School food,,
11.10.2022,Prisma koivistonkylä,"$13,97",Groceries,,
12.10.2022,Cro,"$25,25",Investements,,
14.10.2022,Tier,"$4,14",Electric scooters,,
14.10.2022,K-Market vellamo,"$12,19",Groceries,,
14.10.2022,Narikka,"$3,00",Going out,,
14.10.2022,Happro,"$8,00",Going out,,
14.10.2022,Happro,"$4,00",Going out,,
14.10.2022,Dami,"$4,00",Going out,,
17.10.2022,Corego,"$10,50",Going out,,
17.10.2022,Friends and Brgrs,"$9,00",Going out,,
17.10.2022,Passion,"$4,00",Going out,,
17.10.2022,Paytrail Jyväskylä,"$10,00",Other,,
17.10.2022,VR,"$24,00",Public transportation,,
17.10.2022,Prisma Kaleva,"$14,70",Going out,,
17.10.2022,Rautatieasema,"$5,50",Going out,,
17.10.2022,Othelo,"$2,50",Other,,
18.10.2022,Bianc,"$25,00",Going out,,
18.10.2022,Viking line,"$14,59",Going out,,
18.10.2022,Viking line,"$11,83",Going out,,
18.10.2022,Pressbyran,"$2,81",Going out,,
18.10.2022,Ica,"$3,75",Going out,,
18.10.2022,SCM,"$42,00",Clothing,,
19.10.2022,Pressbyran,"$3,00",Going out,,
19.10.2022,Espresso house,"$13,20",Going out,,
19.10.2022,SL,"$3,67",Public transportation,,
19.10.2022,Hemtex,"$28,00",Furniture,,
19.10.2022,Quality Globe,"$121,82",Travel,,
19.10.2022,Lager 157,"$55,25",Clothing,,
19.10.2022,Salt Men,"$28,00",Clothing,,
20.10.2022,Espresso House,"$5,29",Going out,,
20.10.2022,Apteekkari,"$11,60",Going out,,
20.10.2022,Subway,"$5,87",Going out,,
20.10.2022,Narikka,"$3,00",Going out,,
20.10.2022,Viking line,"$4,00",Going out,,
20.10.2022,Rautatieasem,"$1,50",Going out,,
20.10.2022,Tier,"$2,25",Electric scooters,,
21.10.2022,Narikka,"$3,00",Going out,,
21.10.2022,S-Market Kuopio,"$3,52",Going out,,
21.10.2022,Prisma Kuopio,"$7,85",Going out,,
21.10.2022,Night people,"$3,50",Going out,,
24.10.2022,Lesetti,"$10,40",Clothing,,
24.10.2022,Abc,"$7,20",Going out,,
24.10.2022,Sale niirala,"$5,50",Going out,,
24.10.2022,Audible,"$17,80",Subscriptions,,
24.10.2022,Kuopion pizzatori,"$15,40",Going out,,
24.10.2022,Night people,"$4,51",Going out,,
26.10.2022,School,"$3,20",School food,,
26.10.2022,School,"$3,20",School food,,
28.10.2022,School,"$3,20",School food,,
31.10.2022,Tier,"$3,60",Electric scooters,,
31.10.2022,VR,"$6,30",Public transportation,,
31.10.2022,Sitsit,"$15,00",Going out,,
31.10.2022,School,"$3,20",School food,,
31.10.2022,Eiffel,"$11,50",Going out,,
31.10.2022,Prisma Lielahti,"$6,27",Going out,,
31.10.2022,Lola,"$1,75",Going out,,
1.11.2022,Isabel,"$184,20",Rent,,
1.11.2022,Siiri,"$110,00",Going out,,
1.11.2022,Isabel,"$200,00",Debt,,
2.11.2022,Visma,"$10,00",Going out,,
2.11.2022,Patreon,"$16,74",Subscriptions,,
2.11.2022,School,"$3,20",School food,,
3.11.2022,Isabel,"$53,02",Debt,,
4.11.2022,Jeru,"$9,90",Going out,,
4.11.2022,DDRN,"$6,00",Going out,,
4.11.2022,Tentt,"$5,71",Going out,,
4.11.2022,Schoo,"$3,20",School food,,
4.11.2022,School,"$3,20",School food,,
4.11.2022,Tier,"$3,99",Electric scooters,,
7.11.2022,Tier,"$1,00",Electric scooters,,
7.11.2022,Ilona,"$9,50",Going out,,
7.11.2022,Cafe,"$2,50",Other,,
7.11.2022,Passion,"$9,00",Going out,,
7.11.2022,Narikka,"$3,50",Going out,,
7.11.2022,McDonalds,"$7,65",Going out,,
7.11.2022,Prisma Koivistonkylä,"$48,73",Utilities,,
7.11.2022,Isabel,"$19,00",Debt,,
7.11.2022,K-Supermarket Nekala,"$13,42",Groceries,,
8.11.2022,Isabel,"$12,50",Debt,,
